index,NOM_LOC,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
4,Ensenada,0435,1,3632.0,325.0,9.617301587301586,2.1933333333333334,1321.0,0.853015873015873,3.3525396825396827,584.0,1241.0,419.0
97,Ensenada,0454,1,2211.0,188.0,10.994716981132076,1.9290566037735848,742.0,0.6618867924528301,3.1458490566037733,438.0,760.0,118.0
151,Ensenada,0488,1,2045.0,140.0,8.206785714285715,2.4053571428571425,635.0,1.0560714285714285,3.796071428571428,189.0,743.0,290.0
180,Ensenada,0492,1,557.0,15.0,7.67,0.9128260869565218,281.0,0.3726086956521739,1.6482608695652172,189.0,271.0,39.0
227,Ensenada,0505,1,730.0,135.0,14.026153846153846,1.9992307692307691,300.0,0.5061538461538462,2.8623076923076924,199.0,282.0,20.0
241,Ensenada,0524,1,3040.0,276.0,9.12704918032787,2.5001639344262294,1083.0,0.8168852459016394,3.296065573770492,497.0,1074.0,364.0
303,Ensenada,0543,3,1871.0,223.0,8.496363636363636,2.4614545454545453,679.0,0.9141818181818182,3.3274545454545454,232.0,669.0,174.0
359,Ensenada,0558,6,2426.0,194.0,12.341052631578947,1.7957894736842104,903.0,0.6357894736842106,3.039473684210526,612.0,873.0,196.0
379,Ensenada,0562,1,1575.0,272.0,11.725384615384616,1.908076923076923,630.0,0.6188461538461538,2.9080769230769232,317.0,469.0,146.0
406,Ensenada,0577,1,1199.0,209.0,12.899714285714285,1.5062857142857142,604.0,0.5111428571428571,2.523428571428571,335.0,512.0,62.0
442,Ensenada,0581,1,1122.0,154.0,10.826666666666666,1.9116666666666668,465.0,0.5645833333333333,2.6879166666666667,260.0,348.0,93.0
467,Ensenada,0613,1,2004.0,112.0,7.972272727272727,2.6154545454545453,618.0,1.0109090909090908,3.784090909090909,164.0,752.0,279.0
490,Ensenada,0628,1,1650.0,222.0,7.926808510638298,1.253404255319149,586.0,0.4780851063829787,2.286595744680851,414.0,476.0,138.0
538,Ensenada,0632,1,22.0,0.0,1.3157894736842106,0.3463157894736842,15.0,0.027894736842105264,0.24578947368421053,3.0,4.0,0.0
558,Ensenada,0647,1,2666.0,305.0,12.970227272727271,1.7561363636363636,1028.0,0.5318181818181817,3.0579545454545456,673.0,998.0,146.0
603,Ensenada,0651,1,386.0,85.0,10.046666666666667,1.8566666666666667,195.0,0.44555555555555554,1.9977777777777779,89.0,168.0,3.0
622,Ensenada,0666,1,1640.0,206.0,9.5956,1.8663999999999998,677.0,0.652,2.6424000000000003,299.0,610.0,154.0
648,Ensenada,0670,1,1924.0,218.0,9.472666666666667,2.63,643.0,0.788,3.477333333333333,262.0,697.0,182.0
664,Ensenada,0685,1,3332.0,264.0,8.491764705882353,2.3091176470588235,1108.0,0.9538235294117647,3.4076470588235295,358.0,1252.0,384.0
754,Ensenada,0717,1,187.0,38.0,6.321481481481482,1.238888888888889,201.0,0.44962962962962966,1.377037037037037,46.0,138.0,0.0
782,Ensenada,0721,1,1079.0,134.0,6.017272727272727,1.402121212121212,652.0,0.5012121212121212,1.416060606060606,155.0,513.0,30.0
816,Ensenada,0736,1,1720.0,203.0,9.82173076923077,1.6317307692307692,861.0,0.6046153846153847,2.2546153846153847,352.0,665.0,51.0
869,Ensenada,0740,1,2400.0,369.0,10.561176470588235,2.145098039215686,999.0,0.71,3.0329411764705885,475.0,977.0,197.0
921,Ensenada,0755,5,1885.0,208.0,8.498947368421051,2.363947368421053,633.0,0.9244736842105263,3.492894736842105,254.0,660.0,169.0
995,Ensenada,0789,1,2778.0,357.0,10.133636363636363,2.0570454545454546,1119.0,0.7170454545454545,3.0304545454545457,499.0,832.0,283.0
1040,Ensenada,0793,1,1405.0,139.0,9.321481481481483,2.168888888888889,481.0,0.7611111111111112,3.2411111111111115,220.0,482.0,145.0
1068,Ensenada,0825,1,1297.0,201.0,8.183793103448275,1.176206896551724,598.0,0.35586206896551725,1.798448275862069,368.0,558.0,49.0
1174,Ensenada,0844,1,2310.0,340.0,12.298799999999998,1.9216,908.0,0.6004,2.9295999999999998,555.0,775.0,170.0
1200,Ensenada,0859,1,2783.0,327.0,10.536216216216218,1.8943243243243244,1147.0,0.6102702702702704,2.73972972972973,560.0,928.0,239.0
1238,Ensenada,0863,1,2883.0,304.0,10.769285714285715,2.2466666666666666,986.0,0.8126190476190477,3.4142857142857146,642.0,935.0,331.0
1281,Ensenada,0882,1,2728.0,366.0,10.61030303030303,2.056363636363636,971.0,0.7000000000000001,3.06969696969697,522.0,960.0,243.0
1315,Ensenada,0929,3,881.0,64.0,9.979090909090909,1.539090909090909,489.0,0.553030303030303,2.1839393939393936,272.0,406.0,73.0
1349,Ensenada,1005,1,2987.0,4.0,11.065999999999999,1.5245,1228.0,0.8295,3.247,423.0,1286.0,483.0
1390,Ensenada,1024,1,2102.0,27.0,10.365833333333335,1.2758333333333334,1018.0,0.7727777777777778,2.7808333333333333,412.0,829.0,384.0
1427,Ensenada,1039,1,1627.0,4.0,10.0064,1.5456,683.0,0.9856,3.2688,218.0,701.0,344.0
1453,Ensenada,1043,1,3737.0,105.0,8.433404255319148,1.8393617021276596,1124.0,1.023191489361702,3.4191489361702123,459.0,1597.0,541.0
1501,Ensenada,1058,1,4223.0,58.0,7.249705882352941,1.6294117647058823,379.0,0.9388235294117647,2.7705882352941176,129.0,546.0,123.0
1536,Ensenada,1062,1,76.0,0.0,5.51,1.4,36.0,3.595,2.185,0.0,74.0,0.0
1547,Ensenada,1077,1,152.0,0.0,7.507142857142857,2.4085714285714284,45.0,1.8914285714285715,3.8057142857142856,0.0,105.0,35.0
1555,Ensenada,1081,1,262.0,0.0,9.325,1.725,104.0,1.41,3.275,21.0,115.0,51.0
1558,Ensenada,1221,1,161.0,0.0,4.607142857142857,1.1504761904761904,54.0,0.9128571428571429,2.208095238095238,15.0,155.0,49.0
1580,Ensenada,1236,1,673.0,10.0,6.433170731707317,1.9609756097560977,216.0,1.4941463414634146,3.381463414634146,3.0,325.0,173.0
1622,Ensenada,1240,1,179.0,0.0,6.835384615384616,1.573846153846154,63.0,0.8423076923076924,2.729230769230769,12.0,143.0,20.0
1636,Ensenada,1255,1,1774.0,0.0,9.985238095238095,1.450952380952381,887.0,1.0847619047619048,2.9,189.0,814.0,312.0
1658,Ensenada,1293,1,71.0,0.0,9.696000000000002,1.1099999999999999,63.0,0.4699999999999999,2.508,40.0,74.0,34.0
1664,Ensenada,1306,1,313.0,0.0,15.273333333333333,1.06,171.0,0.6383333333333333,2.706666666666667,107.0,128.0,47.0
