@relation ENS_AGEBS_20

@attribute index numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric
@attribute P_0A5 numeric

@data
4,Ensenada,26,1,64,16,8.92,2.61,26,1.01,3.016667,27,57,0
8,Ensenada,30,1,154,8,14.757778,1.202222,165,0.596667,2.431111,86,127,0
27,Ensenada,83,1,1498,24,9.802222,1.415926,565,0.834815,2.568889,186,516,193
55,Ensenada,98,1,2236,66,9.3392,1.6136,837,1.1924,2.78,251,851,311
81,Ensenada,100,1,3717,78,9.51125,1.9725,1229,1.300833,3.350625,456,1427,506
131,Ensenada,115,1,2560,54,7.818125,1.735,896,1.12625,2.888958,278,1161,425
197,Ensenada,134,1,5481,74,8.681087,1.743696,2033,1.181304,2.850652,669,2148,838
244,Ensenada,149,1,52,0,2.389375,1.178125,27,0.158125,0.755,36,36,27
262,Ensenada,153,1,21,0,0,0,28,0,0,0,0,0
273,Ensenada,168,1,723,43,7.014792,1.795625,262,0.773125,2.67875,124,317,34
323,Ensenada,172,1,757,49,8.807,2.094,266,0.9146,3.0246,117,381,45
375,Ensenada,187,1,624,16,9.106667,2.008148,221,1.042593,3.398519,101,286,107
404,Ensenada,191,1,98,6,1.804167,0.597083,90,0.218333,0.6625,6,46,9
430,Ensenada,204,1,877,0,10.134,1.693,370,1.077,3.179,91,366,164
442,Ensenada,435,1,3798,457,10.768983,1.982203,1382,0.77661,3.137627,782,1273,269
530,Ensenada,454,1,2339,296,12.051698,1.611509,883,0.608302,2.844151,531,718,118
584,Ensenada,488,1,2214,251,9.373571,2.255714,750,0.893214,3.311786,309,728,233
613,Ensenada,492,1,956,131,12.295,1.264722,454,0.584722,2.386944,360,368,33
650,Ensenada,505,1,784,164,14.709231,1.886923,353,0.499231,2.664615,250,279,23
664,Ensenada,524,1,2567,319,9.647581,1.786774,1083,0.700645,2.510968,493,830,157
727,Ensenada,543,3,1827,281,9.376786,2.245179,701,0.801607,2.932679,324,547,58
784,Ensenada,558,6,2399,279,13.094211,1.771053,952,0.588947,2.793158,663,745,140
804,Ensenada,562,1,1280,246,12.926923,1.846923,566,0.586154,2.644615,360,379,190
831,Ensenada,577,1,1170,284,13.831429,1.371429,610,0.517714,2.287143,421,415,44
867,Ensenada,581,1,1043,215,11.648333,1.716667,474,0.5275,2.241667,312,349,24
892,Ensenada,613,1,2069,198,9.199545,2.184091,681,0.917273,3.238636,286,845,290
915,Ensenada,628,1,1762,288,9.679623,1.356981,783,0.508491,2.181698,488,522,112
969,Ensenada,632,1,124,22,1.954444,0.301667,12,0.108889,0.430556,20,18,12
988,Ensenada,647,1,2797,551,13.687949,1.651026,1197,0.478718,2.630256,875,941,179
1028,Ensenada,651,1,346,87,10.958333,1.335556,176,0.481667,1.925556,119,114,4
1047,Ensenada,666,1,1444,239,9.91,1.579615,600,0.643077,2.380769,348,588,118
1074,Ensenada,670,1,1814,309,10.586,2.21,668,0.78,2.958,367,579,134
1090,Ensenada,685,1,3249,375,9.715,2.167647,1169,0.89,3.122059,586,1106,345
1180,Ensenada,717,1,275,39,5.431481,0.903704,143,0.373704,1.13037,71,156,17
1208,Ensenada,721,1,1015,135,7.43625,1.195,612,0.6075,1.474375,218,440,48
1241,Ensenada,736,1,1847,341,11.147885,1.630769,870,0.668846,2.334615,482,741,54
1294,Ensenada,740,1,2522,429,11.490588,1.873333,1046,0.67,2.708824,600,823,208
1346,Ensenada,755,5,2115,295,10.135405,2.025676,741,0.825135,3.062973,379,741,221
1419,Ensenada,789,1,2977,469,11.574222,1.871111,1231,0.705778,2.763556,713,887,341
1465,Ensenada,793,1,1358,217,10.744444,1.811111,531,0.650741,2.766296,295,383,112
1493,Ensenada,825,1,1251,326,8.792632,1.090526,603,0.345789,1.675965,417,505,39
1598,Ensenada,844,1,2140,544,13.2256,1.7588,939,0.5556,2.6572,603,694,108
1624,Ensenada,859,1,2795,560,11.150811,1.718108,1166,0.575405,2.514324,691,821,173
1662,Ensenada,863,1,2687,472,11.592381,1.910714,1016,0.714286,3.061429,641,795,220
1705,Ensenada,882,1,2582,485,11.211765,1.784412,1019,0.587059,2.658529,607,849,175
1740,Ensenada,929,3,1161,179,11.401212,1.661515,582,0.641818,2.501515,338,469,55
1774,Ensenada,1005,1,3611,121,11.394,1.596,1161,0.892667,3.397333,655,1379,386
1810,Ensenada,1024,1,2842,93,10.417778,1.431111,1023,0.735,2.696667,601,1015,312
1847,Ensenada,1039,1,2195,66,10.3464,1.7564,703,0.9068,3.1788,367,850,284
1873,Ensenada,1043,1,4039,248,9.216042,1.87625,1291,0.933958,3.147708,550,1455,430
1922,Ensenada,1058,1,2763,160,8.925143,1.527143,544,0.818571,3.045143,270,1736,238
1958,Ensenada,1062,1,209,13,10.640833,2.154167,90,0.950833,3.284167,52,115,6
1971,Ensenada,1077,1,263,15,8.367273,2.532727,88,1.322727,3.298182,38,159,23
1983,Ensenada,1081,1,281,0,9.695,1.765,95,1.395,3.585,28,116,38
1986,Ensenada,1221,1,310,3,8.646522,1.783913,110,1.151304,3.113913,105,194,176
2010,Ensenada,1236,1,947,34,7.8774,1.8174,303,1.1008,3.254,115,556,142
2061,Ensenada,1240,1,226,23,8.942,1.81,75,1.007,3.337,33,137,47
2072,Ensenada,1255,1,2434,56,11.112857,1.527143,892,0.999048,2.989524,412,967,255
2095,Ensenada,1293,1,204,18,9.063333,0.926667,70,0.42,2.393333,50,77,13
2102,Ensenada,1306,1,727,29,10.58875,0.93625,290,0.63,2.2425,223,205,73
2111,Ensenada,1310,1,1033,47,12.792973,1.237838,641,0.557027,2.458378,351,399,102
2149,Ensenada,1397,1,226,10,7.48,2.988,65,1.392,3.976,15,117,12
2167,Ensenada,1414,1,180,7,6.831667,2.035,62,1.091667,2.893333,15,87,38
