@relation ENS_CLEAN_20

@attribute index numeric
@attribute NOM_MUN {Ensenada}
@attribute LOC numeric
@attribute NOM_LOC {Ensenada}
@attribute AGEB numeric
@attribute MZA numeric
@attribute P_TOTAL numeric
@attribute P_0A2 numeric
@attribute P_3A5 numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric

@data
4,Ensenada,1,Ensenada,26,1,11,0,0,0,9.2,1,4,0.55,2.75,9,26
5,Ensenada,1,Ensenada,26,2,42,0,0,8,8.43,2.5,19,0.91,2.63,9,26
6,Ensenada,1,Ensenada,26,3,11,0,0,8,9.13,4.33,3,1.57,3.67,9,5
8,Ensenada,1,Ensenada,30,1,21,0,0,8,15.89,0.8,17,0.54,2.1,9,7
9,Ensenada,1,Ensenada,30,2,11,0,0,0,16.75,1.5,8,0.48,2.2,4,8
10,Ensenada,1,Ensenada,30,3,1,0,0,0,16.75,1.5,8,0.48,2.2,4,8
11,Ensenada,1,Ensenada,30,4,4,0,0,0,16.75,1.5,8,0.48,2.2,4,8
12,Ensenada,1,Ensenada,30,5,7,0,0,0,12.8,1.5,8,0.54,2.33,3,7
13,Ensenada,1,Ensenada,30,6,3,0,0,0,12.8,1.5,8,0.54,2.33,3,7
14,Ensenada,1,Ensenada,30,7,8,0,0,0,18,1.67,8,0.62,2.67,3,8
15,Ensenada,1,Ensenada,30,8,7,0,0,0,13.5,1,8,0.54,2.33,3,5
16,Ensenada,1,Ensenada,30,9,12,0,0,0,17.5,0.4,8,0.67,2.4,5,10
17,Ensenada,1,Ensenada,30,10,8,0,0,0,13.86,0.5,8,0.67,2.67,5,10
18,Ensenada,1,Ensenada,30,11,4,0,0,0,13.86,0.5,8,0.67,2.67,5,10
19,Ensenada,1,Ensenada,30,12,7,0,0,0,13.86,0.5,6,0.67,2.67,5,10
20,Ensenada,1,Ensenada,30,13,24,0,0,0,15.47,1.1,22,0.67,3,8,11
21,Ensenada,1,Ensenada,30,14,4,0,0,0,13,1.67,8,0.4,1.33,8,4
22,Ensenada,1,Ensenada,30,15,5,0,0,0,13,1.67,8,0.4,1.33,8,4
23,Ensenada,1,Ensenada,30,16,12,0,0,0,13.3,1.75,8,0.8,3,3,3
