index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT
4,Ensenada,1,Ensenada,0026,1,11.0,0.0,0.0,0.0,9.2,1.0,4.0,0.55,2.75,9.0,26.0
5,Ensenada,1,Ensenada,0026,2,42.0,0.0,0.0,8.0,8.43,2.5,19.0,0.91,2.63,9.0,26.0
6,Ensenada,1,Ensenada,0026,3,11.0,0.0,0.0,8.0,9.13,4.33,3.0,1.57,3.67,9.0,5.0
8,Ensenada,1,Ensenada,0030,1,21.0,0.0,0.0,8.0,15.89,0.8,17.0,0.54,2.1,9.0,7.0
9,Ensenada,1,Ensenada,0030,2,11.0,0.0,0.0,0.0,16.75,1.5,8.0,0.48,2.2,4.0,8.0
10,Ensenada,1,Ensenada,0030,3,1.0,0.0,0.0,0.0,16.75,1.5,8.0,0.48,2.2,4.0,8.0
11,Ensenada,1,Ensenada,0030,4,4.0,0.0,0.0,0.0,16.75,1.5,8.0,0.48,2.2,4.0,8.0
12,Ensenada,1,Ensenada,0030,5,7.0,0.0,0.0,0.0,12.8,1.5,8.0,0.54,2.33,3.0,7.0
13,Ensenada,1,Ensenada,0030,6,3.0,0.0,0.0,0.0,12.8,1.5,8.0,0.54,2.33,3.0,7.0
14,Ensenada,1,Ensenada,0030,7,8.0,0.0,0.0,0.0,18.0,1.67,8.0,0.62,2.67,3.0,8.0
15,Ensenada,1,Ensenada,0030,8,7.0,0.0,0.0,0.0,13.5,1.0,8.0,0.54,2.33,3.0,5.0
16,Ensenada,1,Ensenada,0030,9,12.0,0.0,0.0,0.0,17.5,0.4,8.0,0.67,2.4,5.0,10.0
17,Ensenada,1,Ensenada,0030,10,8.0,0.0,0.0,0.0,13.86,0.5,8.0,0.67,2.67,5.0,10.0
18,Ensenada,1,Ensenada,0030,11,4.0,0.0,0.0,0.0,13.86,0.5,8.0,0.67,2.67,5.0,10.0
19,Ensenada,1,Ensenada,0030,12,7.0,0.0,0.0,0.0,13.86,0.5,6.0,0.67,2.67,5.0,10.0
20,Ensenada,1,Ensenada,0030,13,24.0,0.0,0.0,0.0,15.47,1.1,22.0,0.67,3.0,8.0,11.0
21,Ensenada,1,Ensenada,0030,14,4.0,0.0,0.0,0.0,13.0,1.67,8.0,0.4,1.33,8.0,4.0
22,Ensenada,1,Ensenada,0030,15,5.0,0.0,0.0,0.0,13.0,1.67,8.0,0.4,1.33,8.0,4.0
23,Ensenada,1,Ensenada,0030,16,12.0,0.0,0.0,0.0,13.3,1.75,8.0,0.8,3.0,3.0,3.0
24,Ensenada,1,Ensenada,0030,17,6.0,0.0,0.0,0.0,13.3,1.75,8.0,0.8,3.0,3.0,3.0
25,Ensenada,1,Ensenada,0030,18,10.0,0.0,0.0,0.0,15.25,0.83,8.0,0.77,3.33,3.0,4.0
27,Ensenada,1,Ensenada,0083,1,175.0,8.0,14.0,0.0,10.93,1.29,58.0,1.04,3.18,27.0,54.0
28,Ensenada,1,Ensenada,0083,2,61.0,8.0,5.0,0.0,10.57,1.44,30.0,0.84,2.54,6.0,18.0
29,Ensenada,1,Ensenada,0083,3,66.0,6.0,4.0,0.0,11.7,1.6,23.0,1.0,3.3,11.0,31.0
30,Ensenada,1,Ensenada,0083,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
