@relation NORENS_AGEBS_20

@attribute AGEB string
@attribute P_TOTAL numeric
@attribute POB65_MAS numeric
@attribute GRAPROES numeric
@attribute PROM_HNV numeric
@attribute VIVTOT numeric
@attribute PRO_OCUP_C numeric
@attribute PROM_OCUP numeric
@attribute VPH_PC numeric
@attribute OTRAENT numeric
@attribute P_0A5 numeric

@data
0435,3798,457,10.768983,1.982203,1382,0.77661,3.137627,782,1273,259
044A,1429,257,10.522963,2.074815,573,0.625926,2.646667,330,471,83
0454,2339,296,12.051698,1.611509,883,0.608302,2.844151,531,718,118
0492,956,131,12.295,1.264722,454,0.584722,2.386944,360,368,33
0505,784,164,14.709231,1.886923,353,0.499231,2.664615,250,279,23
0524,2567,319,9.647581,1.786774,1083,0.700645,2.510968,493,830,157
0543,1827,281,9.376786,2.245179,701,0.801607,2.932679,324,547,58
0558,2399,279,13.094211,1.771053,952,0.588947,2.793158,663,745,140
0562,1280,246,12.926923,1.846923,566,0.586154,2.644615,360,379,190
0577,1170,284,13.831429,1.371429,610,0.517714,2.287143,421,415,44
0581,1043,215,11.648333,1.716667,474,0.5275,2.241667,312,349,24
0628,1762,288,9.679623,1.356981,783,0.508491,2.181698,488,522,112
0647,2797,551,13.687949,1.651026,1197,0.478718,2.630256,875,941,179
1005,3611,121,11.394,1.596,1161,0.892667,3.397333,655,1379,386
101A,1650,48,11.052105,1.593158,566,0.945789,3.084211,354,547,245
1024,2842,93,10.417778,1.431111,1023,0.735,2.696667,601,1015,312
1255,2434,56,10.607727,1.457727,892,0.953636,2.853636,412,967,255
6006,4685,397,9.555526,2.025,1719,0.81,3.088684,685,1327,435
6025,1559,218,14.349091,1.382273,665,0.527273,2.571364,529,637,123
7451,1260,136,10.627143,1.836786,463,0.730357,3.003571,273,472,77
7663,1329,120,9.982692,1.806923,433,0.81,3.014615,256,383,109
7678,1840,116,9.3236,1.8756,635,0.8862,3.1246,227,641,180
7697,2057,224,8.196182,2.164727,682,0.832909,2.854364,271,928,210
770A,1358,185,12.05931,1.882414,461,0.70069,3.208276,301,424,115
7714,2885,295,9.091176,1.963529,982,0.746765,2.886471,444,944,283
7729,2311,359,12.346774,1.832258,806,0.667419,3.08129,523,719,169
7733,1968,331,10.214118,1.792353,746,0.694118,2.702647,417,718,127
7748,1723,256,11.761944,1.6475,648,0.658889,2.775,423,642,177
7752,2940,326,10.683235,1.795882,1151,0.742941,2.949706,583,754,264
7767,1217,238,11.450667,1.822667,445,0.684,2.950667,279,374,94
7771,2107,388,12.001176,1.403235,888,0.557647,2.401176,584,754,116
7786,2511,339,10.983929,1.97,919,0.693214,2.996429,525,730,196
8089,1367,97,9.011087,1.610652,488,0.817826,2.802826,245,566,148
