ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,PNACOE
02,Baja California,000,Total de la entidad Baja California,0000,TOTAL DE LA ENTIDAD,0000,000,3155070,170792,182211,140625,9.26,2.12,1143117,0.96,3.60,374234,1299773
02,Baja California,001,Ensenada,0000,TOTAL DEL MUNICIPIO,0000,000,466814,25379,26774,23692,8.93,2.18,168914,0.98,3.56,50670,184922
02,Baja California,001,Ensenada,0001,Total de la localidad urbana,0000,000,279765,13335,14134,15686,10.14,2.02,100634,0.85,3.41,40460,102556
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0435,000,3632,146,134,256,9.72,2.10,1321,0.85,3.33,524,1217
02,Baja California,001,Ensenada,0001,Ensenada,0435,001,48,*,3,4,8.31,2.50,15,1.02,3.43,7,16
02,Baja California,001,Ensenada,0001,Ensenada,0435,003,41,*,0,6,9.48,2.40,16,0.85,3.15,4,16
02,Baja California,001,Ensenada,0001,Ensenada,0435,004,41,3,*,4,10.29,1.88,11,0.87,4.10,7,16
02,Baja California,001,Ensenada,0001,Ensenada,0435,006,54,*,*,*,10.24,1.82,23,0.72,3.18,10,17
02,Baja California,001,Ensenada,0001,Ensenada,0435,007,54,3,3,7,9.85,2.33,17,0.78,3.38,7,18
02,Baja California,001,Ensenada,0001,Ensenada,0435,008,25,*,*,*,8.90,2.33,10,0.81,2.78,*,10
02,Baja California,001,Ensenada,0001,Ensenada,0435,009,39,*,0,*,10.79,1.90,16,0.76,3,9,13
02,Baja California,001,Ensenada,0001,Ensenada,0435,010,17,0,3,*,9,4,7,0.63,2.83,*,5
02,Baja California,001,Ensenada,0001,Ensenada,0435,011,51,0,*,3,8.84,2.04,16,0.91,3.43,7,18
02,Baja California,001,Ensenada,0001,Ensenada,0435,012,69,*,4,8,9.67,2.83,19,0.81,4.06,7,19
02,Baja California,001,Ensenada,0001,Ensenada,0435,013,47,3,*,7,9.94,1.61,19,0.94,2.75,9,11
02,Baja California,001,Ensenada,0001,Ensenada,0435,014,23,*,*,3,10.29,1.67,9,0.92,2.88,4,6
02,Baja California,001,Ensenada,0001,Ensenada,0435,015,52,*,0,8,10.26,1.50,19,0.88,3.47,6,13
02,Baja California,001,Ensenada,0001,Ensenada,0435,016,59,*,*,6,10.66,2.11,21,0.88,3.28,10,20
02,Baja California,001,Ensenada,0001,Ensenada,0435,017,67,4,5,6,9.46,2.04,31,0.82,3.05,6,34
02,Baja California,001,Ensenada,0001,Ensenada,0435,018,49,*,*,11,7.44,2.19,28,0.69,2.13,5,32
02,Baja California,001,Ensenada,0001,Ensenada,0435,019,95,5,3,4,9.23,2.05,31,1.02,3.52,9,35
02,Baja California,001,Ensenada,0001,Ensenada,0435,020,66,3,*,4,8.63,1.96,25,0.97,3.30,6,29
02,Baja California,001,Ensenada,0001,Ensenada,0435,021,31,*,0,*,10.86,1.75,8,1.11,3.88,5,5
02,Baja California,001,Ensenada,0001,Ensenada,0435,024,23,0,0,3,10.37,2.38,7,0.72,3.83,4,7
02,Baja California,001,Ensenada,0001,Ensenada,0435,025,97,4,4,9,9.14,2.35,30,0.81,3.34,14,28
02,Baja California,001,Ensenada,0001,Ensenada,0435,026,96,*,4,16,7.85,2.88,33,0.83,3.20,14,38
02,Baja California,001,Ensenada,0001,Ensenada,0435,027,25,*,*,*,10.76,2.20,16,0.57,3.13,6,6
02,Baja California,001,Ensenada,0001,Ensenada,0435,028,70,3,3,3,8.04,2.48,27,0.84,3.18,4,23
02,Baja California,001,Ensenada,0001,Ensenada,0435,029,50,3,*,*,11.22,2.23,20,0.61,2.63,11,17
02,Baja California,001,Ensenada,0001,Ensenada,0435,030,34,3,*,3,8.33,2.31,11,1.06,4.25,5,15
02,Baja California,001,Ensenada,0001,Ensenada,0435,032,16,0,*,*,7,2.25,5,0.89,3.20,*,7
02,Baja California,001,Ensenada,0001,Ensenada,0435,033,133,4,*,8,8.84,2.70,41,0.91,3.50,11,45
02,Baja California,001,Ensenada,0001,Ensenada,0435,034,25,0,*,3,9.95,2.54,7,0.76,3.57,3,7
02,Baja California,001,Ensenada,0001,Ensenada,0435,035,82,0,3,7,9.40,1.74,29,0.91,3.73,13,38
02,Baja California,001,Ensenada,0001,Ensenada,0435,036,106,6,3,10,7.41,2.62,33,1.04,3.66,9,43
