ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,PNACOE,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_PC
02,Baja California,000,Total de la entidad Baja California,0000,Total de la entidad,0000,000,3769020,149957,175286,245280,10.20,1.90,1463949,1325949,3.26,0.90,576454
02,Baja California,001,Ensenada,0000,Total del municipio,0000,000,443807,18918,21114,35220,10.34,1.93,159809,171203,3.15,0.86,68939
02,Baja California,001,Ensenada,0001,Total de la localidad urbana,0000,000,330652,12783,14578,27095,10.96,1.84,114097,121224,3.11,0.82,58843
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0026,000,64,0,*,9,8.68,2.37,33,26,2.78,0.88,5
02,Baja California,001,Ensenada,0001,Ensenada,0026,001,11,0,0,0,9.20,1,*,4,2.75,0.55,*
02,Baja California,001,Ensenada,0001,Ensenada,0026,002,42,0,*,8,8.43,2.50,26,19,2.63,0.91,*
02,Baja California,001,Ensenada,0001,Ensenada,0026,003,11,0,*,*,9.13,4.33,5,3,3.67,1.57,*
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0030,000,154,5,4,7,14.90,1.22,87,165,2.57,0.63,51
02,Baja California,001,Ensenada,0001,Ensenada,0030,001,21,*,*,*,15.89,0.80,7,17,2.10,0.54,9
02,Baja California,001,Ensenada,0001,Ensenada,0030,002,11,0,0,0,16.75,1.50,8,8,2.20,0.48,4
02,Baja California,001,Ensenada,0001,Ensenada,0030,003,1,*,*,*,*,*,*,8,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,004,4,*,*,*,*,*,*,8,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,005,7,*,0,0,12.80,1.50,7,8,2.33,0.54,3
02,Baja California,001,Ensenada,0001,Ensenada,0030,006,3,*,*,*,*,*,*,8,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,007,8,0,0,*,18,1.67,8,8,2.67,0.62,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,008,7,0,0,*,13.50,1,5,8,2.33,0.54,3
02,Baja California,001,Ensenada,0001,Ensenada,0030,009,12,0,*,0,17.50,0.40,10,8,2.40,0.67,5
02,Baja California,001,Ensenada,0001,Ensenada,0030,010,8,0,0,*,13.86,0.50,*,8,2.67,0.67,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,011,4,*,*,*,*,*,*,8,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,012,7,*,*,*,*,*,*,6,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,013,24,0,*,0,15.47,1.10,11,22,3,0.67,8
02,Baja California,001,Ensenada,0001,Ensenada,0030,014,4,0,0,*,13,1.67,4,8,1.33,0.40,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,015,5,*,*,*,*,*,*,8,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,016,12,*,0,0,13.30,1.75,3,8,3,0.80,3
02,Baja California,001,Ensenada,0001,Ensenada,0030,017,6,*,*,*,*,*,*,8,*,*,*
02,Baja California,001,Ensenada,0001,Ensenada,0030,018,10,0,0,0,15.25,0.83,4,8,3.33,0.77,3
02,Baja California,001,Ensenada,0001,Total AGEB urbana,0083,000,1498,68,83,39,10.95,1.56,516,565,2.88,0.94,178
02,Baja California,001,Ensenada,0001,Ensenada,0083,001,175,8,14,*,10.93,1.29,54,58,3.18,1.04,27
02,Baja California,001,Ensenada,0001,Ensenada,0083,002,61,*,5,*,10.57,1.44,18,30,2.54,0.84,6
02,Baja California,001,Ensenada,0001,Ensenada,0083,003,66,6,4,*,11.70,1.60,31,23,3.30,1,11
02,Baja California,001,Ensenada,0001,Ensenada,0083,004,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0083,005,117,3,10,*,10.05,1.67,39,44,2.79,0.96,10
02,Baja California,001,Ensenada,0001,Ensenada,0083,006,54,*,5,*,11.94,1.75,21,19,3.18,1.02,6
02,Baja California,001,Ensenada,0001,Ensenada,0083,007,15,*,0,0,10.73,1.14,8,5,3.75,1.07,*
02,Baja California,001,Ensenada,0001,Ensenada,0083,008,100,4,5,5,10.22,2.21,45,32,3.23,1.02,10
02,Baja California,001,Ensenada,0001,Ensenada,0083,009,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0083,010,11,0,0,0,11,1,0,6,1.83,0.69,*
02,Baja California,001,Ensenada,0001,Ensenada,0083,011,84,5,4,3,11.48,2,42,40,2.27,0.73,13
02,Baja California,001,Ensenada,0001,Ensenada,0083,012,56,3,*,6,11.02,1.62,15,26,2.15,0.71,6
02,Baja California,001,Ensenada,0001,Ensenada,0083,013,12,0,*,0,11.11,2.33,4,5,2.40,0.80,*
02,Baja California,001,Ensenada,0001,Ensenada,0083,014,19,*,0,0,12.25,1.71,5,5,3.80,1.19,4
02,Baja California,001,Ensenada,0001,Ensenada,0083,015,45,3,*,*,10.69,1.29,14,18,3,0.96,8
02,Baja California,001,Ensenada,0001,Ensenada,0083,016,87,4,5,*,9.93,1.67,46,28,3.63,1.21,8
02,Baja California,001,Ensenada,0001,Ensenada,0083,017,125,3,7,*,11.13,1.48,38,40,3.38,1.13,15
02,Baja California,001,Ensenada,0001,Ensenada,0083,018,50,*,3,3,12.03,1.47,12,19,2.63,0.88,6
02,Baja California,001,Ensenada,0001,Ensenada,0083,019,62,*,*,0,11.09,1.26,17,24,2.82,0.95,3
02,Baja California,001,Ensenada,0001,Ensenada,0083,020,25,0,0,0,12.05,1.09,4,10,2.78,0.93,7
02,Baja California,001,Ensenada,0001,Ensenada,0083,021,38,4,3,0,10.16,1.58,18,11,3.45,1.15,4
02,Baja California,001,Ensenada,0001,Ensenada,0083,022,102,10,3,0,10.36,1.40,26,32,3.52,1.17,6
02,Baja California,001,Ensenada,0001,Ensenada,0083,023,19,*,*,*,9.42,2.43,6,8,2.38,0.79,0
02,Baja California,001,Ensenada,0001,Ensenada,0083,024,54,*,4,*,11.07,1.63,22,18,3,0.93,8
02,Baja California,001,Ensenada,0001,Ensenada,0083,025,69,*,*,3,11.60,1.64,22,39,2.09,0.64,7
02,Baja California,001,Ensenada,0001,Ensenada,0083,026,0,0,0,0,0,0,0,0,0,0,0
02,Baja California,001,Ensenada,0001,Ensenada,0083,027,52,0,*,4,12.13,1.53,9,25,2.26,0.73,9
