index,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_TOTAL,P_0A2,P_3A5,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,PNACOE
4,Ensenada,1,Ensenada,0026,1,11,0,0,0,9.20,1,4,0.55,2.75,*,*
5,Ensenada,1,Ensenada,0026,2,42,0,*,8,8.43,2.50,19,0.91,2.63,*,26
6,Ensenada,1,Ensenada,0026,3,11,0,*,*,9.13,4.33,3,1.57,3.67,*,5
8,Ensenada,1,Ensenada,0030,1,21,*,*,*,15.89,0.80,17,0.54,2.10,9,7
9,Ensenada,1,Ensenada,0030,2,11,0,0,0,16.75,1.50,8,0.48,2.20,4,8
10,Ensenada,1,Ensenada,0030,3,1,*,*,*,*,*,8,*,*,*,*
11,Ensenada,1,Ensenada,0030,4,4,*,*,*,*,*,8,*,*,*,*
12,Ensenada,1,Ensenada,0030,5,7,*,0,0,12.80,1.50,8,0.54,2.33,3,7
13,Ensenada,1,Ensenada,0030,6,3,*,*,*,*,*,8,*,*,*,*
14,Ensenada,1,Ensenada,0030,7,8,0,0,*,18,1.67,8,0.62,2.67,*,8
15,Ensenada,1,Ensenada,0030,8,7,0,0,*,13.50,1,8,0.54,2.33,3,5
16,Ensenada,1,Ensenada,0030,9,12,0,*,0,17.50,0.40,8,0.67,2.40,5,10
17,Ensenada,1,Ensenada,0030,10,8,0,0,*,13.86,0.50,8,0.67,2.67,*,*
18,Ensenada,1,Ensenada,0030,11,4,*,*,*,*,*,8,*,*,*,*
19,Ensenada,1,Ensenada,0030,12,7,*,*,*,*,*,6,*,*,*,*
20,Ensenada,1,Ensenada,0030,13,24,0,*,0,15.47,1.10,22,0.67,3,8,11
21,Ensenada,1,Ensenada,0030,14,4,0,0,*,13,1.67,8,0.40,1.33,*,4
22,Ensenada,1,Ensenada,0030,15,5,*,*,*,*,*,8,*,*,*,*
23,Ensenada,1,Ensenada,0030,16,12,*,0,0,13.30,1.75,8,0.80,3,3,3
24,Ensenada,1,Ensenada,0030,17,6,*,*,*,*,*,8,*,*,*,*
25,Ensenada,1,Ensenada,0030,18,10,0,0,0,15.25,0.83,8,0.77,3.33,3,4
27,Ensenada,1,Ensenada,0083,1,175,8,14,*,10.93,1.29,58,1.04,3.18,27,54
28,Ensenada,1,Ensenada,0083,2,61,*,5,*,10.57,1.44,30,0.84,2.54,6,18
29,Ensenada,1,Ensenada,0083,3,66,6,4,*,11.70,1.60,23,1,3.30,11,31
30,Ensenada,1,Ensenada,0083,4,0,0,0,0,0,0,0,0,0,0,0
31,Ensenada,1,Ensenada,0083,5,117,3,10,*,10.05,1.67,44,0.96,2.79,10,39
32,Ensenada,1,Ensenada,0083,6,54,*,5,*,11.94,1.75,19,1.02,3.18,6,21
33,Ensenada,1,Ensenada,0083,7,15,*,0,0,10.73,1.14,5,1.07,3.75,*,8
34,Ensenada,1,Ensenada,0083,8,100,4,5,5,10.22,2.21,32,1.02,3.23,10,45
35,Ensenada,1,Ensenada,0083,9,0,0,0,0,0,0,0,0,0,0,0
36,Ensenada,1,Ensenada,0083,10,11,0,0,0,11,1,6,0.69,1.83,*,0
37,Ensenada,1,Ensenada,0083,11,84,5,4,3,11.48,2,40,0.73,2.27,13,42
38,Ensenada,1,Ensenada,0083,12,56,3,*,6,11.02,1.62,26,0.71,2.15,6,15
39,Ensenada,1,Ensenada,0083,13,12,0,*,0,11.11,2.33,5,0.80,2.40,*,4
40,Ensenada,1,Ensenada,0083,14,19,*,0,0,12.25,1.71,5,1.19,3.80,4,5
41,Ensenada,1,Ensenada,0083,15,45,3,*,*,10.69,1.29,18,0.96,3,8,14
42,Ensenada,1,Ensenada,0083,16,87,4,5,*,9.93,1.67,28,1.21,3.63,8,46
43,Ensenada,1,Ensenada,0083,17,125,3,7,*,11.13,1.48,40,1.13,3.38,15,38
44,Ensenada,1,Ensenada,0083,18,50,*,3,3,12.03,1.47,19,0.88,2.63,6,12
45,Ensenada,1,Ensenada,0083,19,62,*,*,0,11.09,1.26,24,0.95,2.82,3,17
46,Ensenada,1,Ensenada,0083,20,25,0,0,0,12.05,1.09,10,0.93,2.78,7,4
47,Ensenada,1,Ensenada,0083,21,38,4,3,0,10.16,1.58,11,1.15,3.45,4,18
48,Ensenada,1,Ensenada,0083,22,102,10,3,0,10.36,1.40,32,1.17,3.52,6,26
49,Ensenada,1,Ensenada,0083,23,19,*,*,*,9.42,2.43,8,0.79,2.38,0,6
50,Ensenada,1,Ensenada,0083,24,54,*,4,*,11.07,1.63,18,0.93,3,8,22
51,Ensenada,1,Ensenada,0083,25,69,*,*,3,11.60,1.64,39,0.64,2.09,7,22
52,Ensenada,1,Ensenada,0083,26,0,0,0,0,0,0,0,0,0,0,0
53,Ensenada,1,Ensenada,0083,27,52,0,*,4,12.13,1.53,25,0.73,2.26,9,9
55,Ensenada,1,Ensenada,0098,1,140,9,8,*,9.73,1.69,44,1.47,3.41,18,62
56,Ensenada,1,Ensenada,0098,2,142,11,10,*,9.64,1.81,52,1.41,2.96,7,50
57,Ensenada,1,Ensenada,0098,3,198,13,12,*,10.10,1.71,78,1.30,2.96,25,80
58,Ensenada,1,Ensenada,0098,4,89,5,7,3,9.52,1.78,36,1.35,2.78,8,32
59,Ensenada,1,Ensenada,0098,5,99,11,6,*,9.16,1.65,35,1.46,3,7,38
60,Ensenada,1,Ensenada,0098,6,131,*,5,*,9.88,1.60,57,1.22,2.43,5,46
61,Ensenada,1,Ensenada,0098,7,89,7,7,*,9.75,1.81,38,1.13,2.47,7,28
62,Ensenada,1,Ensenada,0098,8,9,0,0,0,11.57,1.25,4,1.29,3,*,4
63,Ensenada,1,Ensenada,0098,9,17,*,*,0,9.67,2,4,1.70,4.25,*,14
64,Ensenada,1,Ensenada,0098,10,98,4,5,4,9.87,2.27,42,1.17,2.88,10,45
65,Ensenada,1,Ensenada,0098,11,85,6,7,*,9.82,1.62,30,1.10,3.04,6,33
66,Ensenada,1,Ensenada,0098,12,14,*,0,0,10.67,1.29,7,0.78,2.33,*,7
67,Ensenada,1,Ensenada,0098,13,16,*,0,0,8.75,1.57,7,0.94,2.29,*,6
68,Ensenada,1,Ensenada,0098,14,65,*,4,3,9.27,1.63,26,1.38,2.83,3,28
69,Ensenada,1,Ensenada,0098,15,52,4,6,0,10.37,1.50,25,1.06,2.26,10,20
70,Ensenada,1,Ensenada,0098,16,128,9,11,3,9.24,2,44,1.36,3.12,14,42
71,Ensenada,1,Ensenada,0098,17,10,*,0,*,9.75,1,4,0.83,2.50,*,5
72,Ensenada,1,Ensenada,0098,18,95,*,0,3,10.08,1.64,29,1.09,3.39,10,41
73,Ensenada,1,Ensenada,0098,19,104,5,8,*,10.06,1.79,35,1.09,3.35,18,44
74,Ensenada,1,Ensenada,0098,20,0,0,0,0,0,0,0,0,0,0,0
75,Ensenada,1,Ensenada,0098,21,115,6,6,3,9.42,1.91,49,1.24,2.56,10,42
76,Ensenada,1,Ensenada,0098,22,291,21,21,4,10.13,1.88,104,1.40,3.03,22,93
77,Ensenada,1,Ensenada,0098,23,116,4,6,*,8.67,1.84,46,1.27,2.70,11,47
78,Ensenada,1,Ensenada,0098,24,12,*,0,*,9.44,1.25,5,1.09,2.40,*,3
79,Ensenada,1,Ensenada,0098,25,121,5,11,*,8.92,1.85,36,1.68,3.56,9,41
81,Ensenada,1,Ensenada,0100,1,106,6,7,0,10.43,1.74,32,0.99,3.42,14,19
82,Ensenada,1,Ensenada,0100,2,149,11,6,3,9.56,1.45,49,1.46,3.24,9,50
83,Ensenada,1,Ensenada,0100,3,83,6,6,0,11.87,1.63,28,1.22,3.32,11,32
84,Ensenada,1,Ensenada,0100,4,107,6,6,4,10.01,1.87,32,1.10,3.34,11,42
85,Ensenada,1,Ensenada,0100,5,96,3,7,0,11.22,1.66,30,1.16,3.69,11,29
86,Ensenada,1,Ensenada,0100,6,105,3,12,*,11.12,1.78,33,1.19,3.28,11,31
87,Ensenada,1,Ensenada,0100,7,196,9,18,3,9.57,2.11,66,1.72,3.27,19,70
88,Ensenada,1,Ensenada,0100,8,125,5,4,*,9.38,1.59,46,1.87,2.84,11,53
89,Ensenada,1,Ensenada,0100,9,39,0,3,*,8.70,2.55,14,1.63,3.25,5,25
90,Ensenada,1,Ensenada,0100,10,148,16,7,3,9.69,1.53,47,1.41,3.29,16,70
91,Ensenada,1,Ensenada,0100,11,65,4,5,*,10.93,1.76,28,0.87,3.10,11,18
92,Ensenada,1,Ensenada,0100,12,72,*,3,*,10.98,1.85,28,1.04,3,9,28
93,Ensenada,1,Ensenada,0100,13,293,18,20,3,11.97,1.45,93,0.94,3.45,52,82
94,Ensenada,1,Ensenada,0100,14,59,4,5,0,10.93,1.18,19,0.98,3.28,10,15
95,Ensenada,1,Ensenada,0100,15,185,19,11,4,9.40,1.91,64,1.85,3.08,21,77
96,Ensenada,1,Ensenada,0100,16,183,16,20,4,9.54,1.80,64,1.83,3.10,19,81
97,Ensenada,1,Ensenada,0100,17,119,9,8,*,9.20,1.64,44,1.34,2.90,11,61
98,Ensenada,1,Ensenada,0100,18,79,6,12,3,12.04,1.57,26,0.93,3.16,13,24
99,Ensenada,1,Ensenada,0100,19,92,4,10,*,11.37,2.14,28,1.11,3.41,16,25
100,Ensenada,1,Ensenada,0100,20,87,4,9,*,11.38,1.63,29,0.98,3.35,14,35
101,Ensenada,1,Ensenada,0100,21,94,7,12,4,10.59,2.32,28,1.27,3.62,8,32
102,Ensenada,1,Ensenada,0100,22,170,13,15,3,9.42,1.87,59,1.34,3.04,19,67
103,Ensenada,1,Ensenada,0100,23,189,11,15,*,9.25,2.12,58,2.03,3.38,14,84
104,Ensenada,1,Ensenada,0100,24,106,7,12,*,9.28,2.08,36,1.56,3.03,10,47
105,Ensenada,1,Ensenada,0100,25,166,12,11,*,9.44,1.95,54,1.39,3.25,18,65
106,Ensenada,1,Ensenada,0100,26,124,10,11,4,9.42,2.21,41,1.53,3.35,11,43
107,Ensenada,1,Ensenada,0100,27,98,*,6,*,9.33,1.36,27,1.72,3.92,7,30
108,Ensenada,1,Ensenada,0100,28,14,0,0,0,8.82,1.80,7,1.17,2.80,0,8
109,Ensenada,1,Ensenada,0100,29,26,0,*,*,9.05,1.64,8,1.30,3.71,*,12
110,Ensenada,1,Ensenada,0100,30,36,*,0,5,6.89,2.58,12,1.06,3.60,*,23
111,Ensenada,1,Ensenada,0100,31,24,0,*,0,8.41,1.44,8,1.50,4,*,6
112,Ensenada,1,Ensenada,0100,32,34,*,3,0,9.64,1.73,11,1.10,3.78,5,13
113,Ensenada,1,Ensenada,0100,33,31,*,7,*,8.65,2,7,1.82,4.43,*,12
114,Ensenada,1,Ensenada,0100,34,26,*,0,0,8.70,2.40,8,0.96,3.25,*,8
115,Ensenada,1,Ensenada,0100,35,29,*,3,0,9.39,1.80,8,1.21,4.14,*,14
116,Ensenada,1,Ensenada,0100,36,12,0,0,0,6.67,1.75,3,2,4,*,11
117,Ensenada,1,Ensenada,0100,37,8,0,0,0,12.88,1.50,4,1.14,2.67,*,*
118,Ensenada,1,Ensenada,0100,38,7,*,*,*,*,*,4,*,*,*,*
119,Ensenada,1,Ensenada,0100,39,26,*,*,*,6.93,4.20,9,1.53,3.71,*,12
120,Ensenada,1,Ensenada,0100,40,19,*,0,0,8.50,2.29,8,1.55,2.71,*,8
121,Ensenada,1,Ensenada,0100,41,25,0,*,0,9.37,1.50,6,1,4.17,*,8
122,Ensenada,1,Ensenada,0100,42,16,*,*,0,9.56,2.60,5,1.33,4,*,6
123,Ensenada,1,Ensenada,0100,43,4,*,*,*,*,*,1,*,*,*,*
124,Ensenada,1,Ensenada,0100,44,5,*,*,*,*,*,1,*,*,*,*
125,Ensenada,1,Ensenada,0100,45,18,0,3,*,7.36,4,5,1.20,4.50,*,9
126,Ensenada,1,Ensenada,0100,46,10,*,*,*,11.57,4.25,3,1.11,3.33,*,4
127,Ensenada,1,Ensenada,0100,47,12,*,*,0,6.13,1.75,7,1.20,3,0,*
128,Ensenada,1,Ensenada,0100,48,0,0,0,0,0,0,1,0,0,0,0
129,Ensenada,1,Ensenada,0100,800,0,0,0,0,0,0,0,0,0,0,0
131,Ensenada,1,Ensenada,0115,1,73,4,5,*,10.48,1.63,23,1.49,3.48,8,28
132,Ensenada,1,Ensenada,0115,2,72,3,7,0,9.44,2.14,23,1.44,3.79,11,29
133,Ensenada,1,Ensenada,0115,3,73,8,6,*,8.78,2.54,23,1.28,3.65,8,19
134,Ensenada,1,Ensenada,0115,4,61,*,3,9,7.93,2.17,21,1.20,3.39,4,25
135,Ensenada,1,Ensenada,0115,5,69,4,7,*,9.86,2.74,22,1.17,3.83,5,29
136,Ensenada,1,Ensenada,0115,6,72,6,6,0,10.18,1.63,21,1.50,4,5,33
137,Ensenada,1,Ensenada,0115,7,60,3,*,0,9.28,1.81,20,1.02,3.33,3,29
138,Ensenada,1,Ensenada,0115,8,79,0,5,*,10,1.67,28,1.16,3.43,14,37
139,Ensenada,1,Ensenada,0115,9,50,*,*,*,10,2,23,1.04,2.94,8,18
140,Ensenada,1,Ensenada,0115,10,64,4,*,*,9.20,2.04,23,1.52,3.56,5,23
141,Ensenada,1,Ensenada,0115,11,0,0,0,0,0,0,0,0,0,0,0
142,Ensenada,1,Ensenada,0115,12,84,5,3,*,9.71,1.67,27,1.27,3.65,11,33
143,Ensenada,1,Ensenada,0115,13,93,3,*,3,8.81,1.95,24,1.27,3.88,8,36
144,Ensenada,1,Ensenada,0115,14,73,4,3,*,9.49,1.61,23,1.40,3.84,5,31
145,Ensenada,1,Ensenada,0115,15,69,3,4,3,9.38,2.03,21,1.23,3.83,8,29
146,Ensenada,1,Ensenada,0115,16,0,0,0,0,0,0,1,0,0,0,0
147,Ensenada,1,Ensenada,0115,17,0,0,0,0,0,0,0,0,0,0,0
148,Ensenada,1,Ensenada,0115,18,63,3,0,*,8.52,2.13,25,1.24,3.15,4,28
149,Ensenada,1,Ensenada,0115,19,61,6,*,*,9.65,2.58,24,1.36,3.59,9,31
