CLAVEGEO,CVE_ENT,CVE_DISTRITO,CVE_MUN,CVE_SECCION,DESC_SECCION
300100100001,3,1,1,1,Sección 00001
300100100002,3,1,1,2,Sección 00002
300100100003,3,1,1,3,Sección 00003
300100100004,3,1,1,4,Sección 00004
300100100005,3,1,1,5,Sección 00005
300100100006,3,1,1,6,Sección 00006
300100100007,3,1,1,7,Sección 00007
300100100008,3,1,1,8,Sección 00008
300100100009,3,1,1,9,Sección 00009
300100100010,3,1,1,10,Sección 00010
300100100011,3,1,1,11,Sección 00011
300100100012,3,1,1,12,Sección 00012
300100100013,3,1,1,13,Sección 00013
300100100014,3,1,1,14,Sección 00014
300100100015,3,1,1,15,Sección 00015
300100100016,3,1,1,16,Sección 00016
300100100017,3,1,1,17,Sección 00017
300100100018,3,1,1,18,Sección 00018
300100100019,3,1,1,19,Sección 00019
300100100020,3,1,1,20,Sección 00020
300100100021,3,1,1,21,Sección 00021
300100100022,3,1,1,22,Sección 00022
300100100023,3,1,1,23,Sección 00023
300100100024,3,1,1,24,Sección 00024
300100100025,3,1,1,25,Sección 00025
300100100026,3,1,1,26,Sección 00026
300100100027,3,1,1,27,Sección 00027
300100100028,3,1,1,28,Sección 00028
300100100029,3,1,1,29,Sección 00029
300100100030,3,1,1,30,Sección 00030
300100100031,3,1,1,31,Sección 00031
300100100032,3,1,1,32,Sección 00032
300100100033,3,1,1,33,Sección 00033
300100100034,3,1,1,34,Sección 00034
300100100035,3,1,1,35,Sección 00035
300100100036,3,1,1,36,Sección 00036
300100100037,3,1,1,37,Sección 00037
300100100038,3,1,1,38,Sección 00038
300100100039,3,1,1,39,Sección 00039
300100100040,3,1,1,40,Sección 00040
300100100041,3,1,1,41,Sección 00041
300100100042,3,1,1,42,Sección 00042
300100100043,3,1,1,43,Sección 00043
300100100044,3,1,1,44,Sección 00044
300100100045,3,1,1,45,Sección 00045
300100100046,3,1,1,46,Sección 00046
300100100047,3,1,1,47,Sección 00047
300100100048,3,1,1,48,Sección 00048
300100100049,3,1,1,49,Sección 00049
300100100050,3,1,1,50,Sección 00050
300100100051,3,1,1,51,Sección 00051
300100100052,3,1,1,52,Sección 00052
300100100053,3,1,1,53,Sección 00053
300100100054,3,1,1,54,Sección 00054
300100100055,3,1,1,55,Sección 00055
300100100056,3,1,1,56,Sección 00056
300100100057,3,1,1,57,Sección 00057
300100100058,3,1,1,58,Sección 00058
300100100059,3,1,1,59,Sección 00059
300100100060,3,1,1,60,Sección 00060
300100100061,3,1,1,61,Sección 00061
300100100062,3,1,1,62,Sección 00062
300100100063,3,1,1,63,Sección 00063
300100100064,3,1,1,64,Sección 00064
300100100066,3,1,1,66,Sección 00066
300100100067,3,1,1,67,Sección 00067
300100100068,3,1,1,68,Sección 00068
300100100069,3,1,1,69,Sección 00069
300100100070,3,1,1,70,Sección 00070
